city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Почеп,Брянская область,Центральный,14991,1447,1925,,52.92878,33.454536
Починок,Смоленская область,Центральный,7575,1868,1926,,54.404776,32.4407898
Пошехонье,Ярославская область,Центральный,5150,1680,1777,Пертома(до 1777);Пошехонье(до 1918);Пошехонье-Володарск(до 1992),58.503201,39.119701
Правдинск,Калининградская область,Северо-Западный,3986,1312,1335,Фридланд(до 1946),54.447144,21.01399
Приволжск,Ивановская область,Центральный,14332,1484,1938,Яковлевское(до 1924);Яковлевский(до 1938),57.380333,41.281178
Приморск,Ленинградская область,Северо-Западный,6537,1268,1940,Берёзовское(до 1323);Бьёрке(до 1709);Берёзовое(до 1920);Койвисто(до 1948),60.366665,28.616673
Приморск,Ленинградская область,Северо-Западный,6537,1268,1940,Берёзовское(до 1323);Бьёрке(до 1709);Берёзовое(до 1920);Койвисто(до 1948),60.366665,28.616673
Приморско-Ахтарск,Краснодарский край,Южный,31087,1854,1949,"Ахтарский,Приморско-Ахтарская",46.0433467,38.1560033
Приозерск,Ленинградская область,Северо-Западный,18777,1150XII век,1310,"Корела(до 1580, с 1595 до 1611);Кексгольм(с 1580 до 1595, с 1611 до 1918, с 1940 до 1948);Кякисалми(с 1918 до 1940)",61.0385285,30.1248482
Прокопьевск,Кемеровская область,Сибирский,177819,1650,1931,Монастырское,53.8879117,86.7492072
Пролетарск,Ростовская область,Южный,18983,1650XVII век,1970,Великокняжеская(до 1925);Пролетарская(до 1970),46.700161,41.724079
Протвино,Московская область,Центральный,37735,1960,1989,Серпухов-7,54.8707703,37.2188629
Прохладный,Кабардино-Балкария,Северо-Кавказский,59938,1765,1937,Прохладная(до 1937),43.7590017,44.0103981
Псков,Псковская область,Северо-Западный,193082,903,903,Плесков,57.8173923,28.3343465
Пугачёв,Саратовская область,Приволжский,40127,1764,1835,Николаевск(до 1918),52.0121253,48.8109795
Пудож,Карелия,Северо-Западный,7356,1382,1785,,61.8046273,36.5278589
Пустошка,Псковская область,Северо-Западный,4070,1901,1925,,56.3350632,29.3684565
Пучеж,Ивановская область,Центральный,6879,1594,1793,,56.9820977,43.168062
Пушкино,Московская область,Центральный,110868,1499,1925,,56.0104274,37.8461892
Пущино,Московская область,Центральный,19578,1956,1966,,54.8347213,37.6139685
Пыталово,Псковская область,Северо-Западный,5263,1782,1933,Яунлатгале(с 1925 до 1938);Абрене(до 1945),57.062908,27.921061
Пятигорск,Ставропольский край,Северо-Кавказский,146473,1780,1830,"Горячие Воды,Константиногорск",44.039775,43.0706669
Радужный,Ханты-Мансийский АО,Уральский,43577,1973,1985,,55.9939587,40.3294411
Радужный,Ханты-Мансийский АО,Уральский,43577,1973,1985,,55.9939587,40.3294411
Райчихинск,Амурская область,Дальневосточный,15797,1932,1944,Райчиха,49.796788,129.4030842
Раменское,Московская область,Центральный,114537,1328,1926,Раменье,55.5709361,38.2282099
Рассказово,Тамбовская область,Центральный,47644,1698,1926,,52.658699,41.879002
Ревда,Свердловская область,Уральский,60200,1734,1935,,56.8000651,59.9086688
Реж,Свердловская область,Уральский,36585,1773,1943,,57.370647,61.4042865
Реутов,Московская область,Центральный,113871,1573,1940,Реутово(до 1940),55.7622453,37.856555
Ржев,Тверская область,Центральный,55757,1216,1216,"Ржева Володимирова,Ржевка,Ржов",56.2565207,34.328649
Родники,Ивановская область,Центральный,24101,1606,1918,,57.105225,41.72839
Рославль,Смоленская область,Центральный,45416,1137,1755,Ростиславль,53.9483965,32.8606696
Россошь,Воронежская область,Центральный,60879,1650XVII век,1923,,50.1961874,39.5764857
Ростов Великий,Ярославская область,Центральный,28122,862,862,Ростов(до 2025),57.2012699,39.4221813
Ростов-на-Дону,Ростовская область,Южный,1142162,1749,1807,"Темерницкая таможня,Темерницкое городище",47.2216548,39.7096061
Рошаль,Московская область,Центральный,21401,1916,1940,Крестов Брод(до 1917),55.6583239,39.8717137
Ртищево,Саратовская область,Приволжский,37850,1666,1925,Покровское(до 1723),52.2599057,43.7877429
Рубцовск,Алтайский край,Сибирский,126834,1892,1927,Рубцово(до 1922),51.5276264,81.2176174
Рудня,Смоленская область,Центральный,8908,1363,1926,,54.9471458,31.0906286
Руза,Московская область,Центральный,16014,1328,1781,,55.6998907,36.1946992
Рузаевка,Мордовия,Приволжский,42989,1631,1973,,54.058735,44.954391
Рыбинск,Ярославская область,Центральный,177295,1071,1777,Усть-Шексна(до 1504);Рыбная слобода(до 1777);Щербаков(с 1946 до 1957);Андропов(с 1984 до 1989),58.0489536,38.8558908
Рыбное,Рязанская область,Центральный,21069,1597,1961,,54.730757,39.5056425
Рыльск,Курская область,Центральный,15069,1152,1050XII век,,51.570538,34.683506
Ряжск,Рязанская область,Центральный,20634,1502,1778,Рясское Поле,53.708878,40.062984
Рязань,Рязанская область,Центральный,528599,1095,1095,Переяславль-Рязанский(до 1778),54.6295687,39.7425039
Саки,Крым,Южный,24285,1952,1952,Сак,45.1326071,33.5949272
Салават,Башкортостан,Приволжский,148575,1948,1954,Новострой,53.361687,55.924641
Салаир,Кемеровская область,Сибирский,7088,1626,1941,,54.232521,85.798386
Сальск,Ростовская область,Южный,57937,1812,1926,Торговая(до 1918);Торговый(до 1926),46.476669,41.541008
Самара,Самарская область,Приволжский,1173299,1586,1688,Куйбышев(с 1935 по 1991),53.1956255,50.1014927
Санкт-Петербург,Санкт-Петербург,Северо-Западный,5601911,1703,1703,Петроград(с 1914 до 1924);Ленинград(до 1991),59.938732,30.316229
Саранск,Мордовия,Приволжский,314871,1641,1780,Саранский Острожек,54.18671,45.18383
Сарапул,Удмуртия,Приволжский,91115,1621,1780,Вознесенское(до 1707),56.4774374,53.8194777
Саратов,Саратовская область,Приволжский,901361,1590,1590,,51.530018,46.034683
Саров,Нижегородская область,Приволжский,93357,1691,1954,Арзамас-75(до 1966);Арзамас-16(до 1994);Кремлёвск(до 1995),54.9372324,43.2846453
Сасово,Рязанская область,Центральный,21628,1642,1926,,54.35392,41.926643
Сатка,Челябинская область,Уральский,42597,1758,1758,,55.0455799,58.9752931
Сафоново,Смоленская область,Центральный,38403,1859,1952,,55.1084278,33.2376513
Саяногорск,Хакасия,Сибирский,44872,1830,1975,Означенное(до 1975),53.0899015,91.4128377
Саянск,Иркутская область,Сибирский,35561,1970,1985,,54.1123301,102.1785158
Светлогорск,Калининградская область,Северо-Западный,16207,1258,1947,Раушен(до 1947),54.9417552,20.1550863
Светлоград,Ставропольский край,Северо-Кавказский,35703,1786,1965,Петровское(до 1965),45.3406133,42.8459286
Светлый,Калининградская область,Северо-Западный,21114,1640,1955,Циммербуде(до 1947),54.673355,20.131153
Светогорск,Ленинградская область,Северо-Западный,13784,1887,1949,Энсо(до 1949),61.1112542,28.8701036
Свирск,Иркутская область,Сибирский,15485,1850XIX век,1949,"Заимка Черниговская,Свирская,Свирское",53.066269,103.342331
Свободный,Амурская область,Дальневосточный,48517,1912,1912,Алексеевск(до 1917),51.377354,128.13475
Себеж,Псковская область,Северо-Западный,6246,1414,1772,,56.2774187,28.4848862
Севастополь,Севастополь,Южный,547820[3],1783,1783,"Акъяр(до 1783);Ахтиар( с 1783 до 1784, с 1797 до 1826)",44.599058,33.4881648
Северо-Курильск,Сахалинская область,Дальневосточный,2374,1875,1946,Касивабара(до 1946),50.6683048,156.1154399
Северобайкальск,Бурятия,Сибирский,24233,1974,1980,,55.635967,109.335648
Северодвинск,Архангельская область,Северо-Западный,157213,1936,1938,Судострой(до 1938);Молотовск(до 1957),64.563385,39.823769
Североморск,Мурманская область,Северо-Западный,43327,1896,1951,Ваенга(до 1951),69.069168,33.416656
Североуральск,Свердловская область,Уральский,24428,1758,1944,Петропавловский(до 1944),60.15016,59.960517
Северск,Томская область,Сибирский,106648,1949,1954,"Почтовый ящик N° 5,Берёзки,Томск-7",56.603161,84.881012
Севск,Брянская область,Центральный,6732,1146,1146,,52.156021,34.494572
Сегежа,Карелия,Северо-Западный,23543,1914,1943,,63.7435087,34.3106868
Сельцо,Брянская область,Центральный,15906,1870-е,1990,,53.3709842,34.1065866
Семёнов,Нижегородская область,Приволжский,25075,1644,1779,,56.788342,44.49155
Семикаракорск,Ростовская область,Южный,21719,1672,1972,"Семикаракорская,Семикаракоры",47.516393,40.8122575
Семилуки,Воронежская область,Центральный,27938,1615,1954,,51.6947492,39.0205069
Сенгилей,Ульяновская область,Приволжский,6407,1666,1943,Покровское(до 1780),53.9620452,48.7905334
Серафимович,Волгоградская область,Южный,8633,1589,1933,Усть-Медведицкая(до 1933),49.5835296,42.7327818
Сергач,Нижегородская область,Приволжский,20256,1649,1779,,55.532822,45.4616976
Сергиев Посад,Московская область,Центральный,101756,1337,1919,Сергиев(до 1930);Загорск(до 1991),56.3153284,38.1359898
Сердобск,Пензенская область,Приволжский,30220,1698,1780,,52.4559067,44.2029162
Серноводское,Чечня,Северо-Кавказский,12583,1846,2024,Михайловская(до 1922);Асламбек(до 1944),43.315834,45.163658
Серов,Свердловская область,Уральский,94211,1893,1919,"Надеждинск(до 1943, с 1937 до 1939);Кабаковск(с 1934 до 1937)",59.6051267,60.5733483
Серпухов,Московская область,Центральный,133793,1339,1374,,54.9155247,37.4195533
Сертолово,Ленинградская область,Северо-Западный,68241,1936,1988,"Сиротала,Сертолла,Серталово,Серполово",60.143707,30.207806
Сибай,Башкортостан,Приволжский,56514,1925,1955,Сибаевский рудник,52.720425,58.665466
Сим,Челябинская область,Уральский,12858,1759,1942,Симский завод(до 1928),54.9872705,57.6847437
Симферополь,Крым,Южный,340540,1784,1784,,44.9494977,34.1003633
Сковородино,Амурская область,Дальневосточный,7057,1908,1927,Змеиный(до 1909);Невер-1(до 1911);Рухлово(до 1938),53.9862567,123.9373454
Скопин,Рязанская область,Центральный,25238,1676,1778,,53.823524,39.549274
Славгород,Алтайский край,Сибирский,27900,1910,1914,,52.9968921,78.6485041
Славск,Калининградская область,Северо-Западный,4153,1292,1946,Хайнрихсвальде(до 1947),55.04549,21.679073
Славянск-на-Кубани,Краснодарский край,Южный,62985,1865,1958,"Ло-Копа,Ени-Копыл,Славянская",45.2492346,38.1092674
Сланцы,Ленинградская область,Северо-Западный,34628,1934,1949,,59.11726,28.086979
Слободской,Кировская область,Приволжский,29148,1505,1780,,58.7277816,50.1771234
Слюдянка,Иркутская область,Сибирский,18058,1899,1936,,51.656769,103.719292
Смоленск,Смоленская область,Центральный,316570,863,863,,54.77897,32.0471812
Снежинск,Челябинская область,Уральский,50619,1955,1957,Жилой посёлок № 2(до 1957);Касли-2(до 1959);Челябинск-50(до 1966);Челябинск-70(до 1993),56.087009,60.732674
Снежногорск,Мурманская область,Северо-Западный,9942,1970,1980,Вьюжный(до 1980);Мурманск-60(до 1994),69.19191,33.232357
Собинка,Владимирская область,Центральный,17444,1858,1939,,55.9903976,40.0150802
Советск,Тульская область,Центральный,7889,1949,1954,Никольское,53.9346588,37.6320858
Советск,Тульская область,Центральный,7889,1949,1954,Никольское,53.9346588,37.6320858
Советск,Тульская область,Центральный,7889,1949,1954,Никольское,53.9346588,37.6320858
Советская Гавань,Хабаровский край,Дальневосточный,24231,1853,1941,Константиновский пост(до 1856);Императорская Гавань(до 1923);Знаменское(до 1930),48.9663026,140.284958
Сокол,Вологодская область,Северо-Западный,34742,1615,1932,Соколово,59.462799,40.112858
Солигалич,Костромская область,Центральный,5534,1335,1778,Соль Галичьская,59.0777693,42.2861828
Соликамск,Пермский край,Приволжский,89473,1430,1573,"Соль Камская,Усолье Камское",59.6493177,56.7706247
Солнечногорск,Московская область,Центральный,48413,1750XVIII век,1938,Солнечная Гора(до 1928);Солнечногорский(до 1938),56.1853501,36.9781536
Соль-Илецк,Оренбургская область,Приволжский,26149,1754,1865,Илецк(до 1926);Илецкое(до 1935);Илецкая Защита(до 1945),51.161289,54.996372
Сольвычегодск,Архангельская область,Северо-Западный,1952,1492,1708,"Усолье,Усольск,Соль-Вычегодская",61.331333,46.918938
Сольцы,Новгородская область,Северо-Западный,8449,1390,1914,,58.119003,30.309679
Сорочинск,Оренбургская область,Приволжский,28478,1737,1945,,52.426971,53.154175
Сорск,Хакасия,Сибирский,10124,1940,1966,Сора(до 1966),54.0016092,90.2525861
Сортавала,Карелия,Северо-Западный,14867,1468,1783,Сердоболь(до 1918),61.70274,30.691231
Сосенский,Калужская область,Центральный,11413,1952,1991,"Ленинский,Шепелевский",54.0516143,35.9589929
Сосновка,Кировская область,Приволжский,8428,1699,1962,,56.2573802,51.2842677
Сосновоборск,Красноярский край,Сибирский,40442,1971,1985,,56.121494,93.33873
Сосновый Бор,Ленинградская область,Северо-Западный,65367,1958,1973,,59.8968655,29.0765628
Сосногорск,Коми,Северо-Западный,22189,1939,1955,Ижма(до 1957),63.585606,53.9000691
Сочи,Краснодарский край,Южный,466078,1838,1917,,43.5854823,39.723109
Спас-Деменск,Калужская область,Центральный,4569,1446,1917,,54.412586,34.0309659
Спас-Клепики,Рязанская область,Центральный,4743,1550XVI век,1920,"Клепиково,Спасское",55.130867,40.176037
Спасск,Пензенская область,Приволжский,6936,1650XVII век,1779,Богданово(до 1673);Богданово-Спасское(с 1673 по 1779);Беднодемьяновск(с 1925 по 2005),53.9310306,43.1885058
Спасск-Дальний,Приморский край,Дальневосточный,35732,1886,1917,Спасское(до 1917);Спасск-Приморский(до 1929),44.5980135,132.815701
Спасск-Рязанский,Рязанская область,Центральный,5796,1629,1778,Спасск(до 1929),54.4078801,40.380539
Среднеколымск,Якутия,Дальневосточный,3131,1643,1775,"Ярмонга,Ярманка",67.455497,153.7071456
Среднеуральск,Свердловская область,Уральский,23344,1931,1966,Посёлок СУГРЭС,56.991631,60.46888
Сретенск,Забайкальский край,Сибирский,6093,1689,1926,,52.243191,117.695541
Ставрополь,Ставропольский край,Северо-Кавказский,547443,1777,1785,Ставрополь-Кавказский(до 1935);Ворошиловск(до 1943),45.0433245,41.9690934
Старая Купавна,Московская область,Центральный,22898,1350XIV век,2004,,55.8070323,38.1774172
Старая Русса,Новгородская область,Северо-Западный,27487,1167,1167,Руса,57.9898923,31.3634905
Старица,Тверская область,Центральный,6938,1297,1297,"Городок,Городеск",56.5081105,34.9314738
Стародуб,Брянская область,Центральный,17687,1080,1080,,52.5853016,32.7603126
Старый Крым,Крым,Южный,10470,1250XIII век,1250XIII век,"Кырым,Солхат,Левкополь",51.3219908,37.6988186
Старый Оскол,Белгородская область,Центральный,221676,1593,1593,Оскол(до 1655),51.298038,37.833202
Стерлитамак,Башкортостан,Приволжский,277410,1766,1782,,53.632374,55.952259
Стрежевой,Томская область,Сибирский,39169,1966,1978,,60.732758,77.600807
Строитель,Белгородская область,Центральный,23780,1958,2000,,50.785236,36.485428
Струнино,Владимирская область,Центральный,11774,1492,1938,,56.374,38.586
Ступино,Московская область,Центральный,64412,1938,1938,Электровоз(до 1938),54.886598,38.0772589
Суворов,Тульская область,Центральный,17598,1949,1954,Суворовский(до 1954),54.12236,36.500027
Суджа,Курская область,Центральный,5127,1550XVI век,1664,,51.190585,35.270946
Судогда,Владимирская область,Центральный,10408,1552,1778,,55.9515703,40.8586886
Суздаль,Владимирская область,Центральный,9286,1024,1024,,56.4193908,40.4487893
Сунжа,Ингушетия,Северо-Кавказский,62078,1845,2016,Сунженская(до 1852);Слепцовская(до 1939);Орджоникидзевская(до 2016),43.2633664,45.4001963
Суоярви,Карелия,Северо-Западный,7190,1550XVI век,1940,Шуезерск,62.0887901,32.3738797
Сураж,Брянская область,Центральный,11176,1750XVII век,1781,Суражичи(до 1781),53.0131501,32.3931633
Суровикино,Волгоградская область,Южный,18227,1744,1966,,48.605141,42.844147
Сурск,Пензенская область,Приволжский,6034,1849,1953,Никольский Хутор(до 1953),53.072903,45.686054
Сусуман,Магаданская область,Дальневосточный,4439,1938,1964,,62.779732,148.15361
Сухиничи,Калужская область,Центральный,14806,1750XVIII век,1840,,54.1012793,35.3394394
Сухой Лог,Свердловская область,Уральский,32748,1710,1943,,56.9047389,62.0350233
Сызрань,Самарская область,Приволжский,165725,1683,1796,,53.15538,48.474121
Сыктывкар,Коми,Северо-Западный,220580,1780,1780,Усть-Сысольск(до 1930),61.6685237,50.8352024
Сысерть,Свердловская область,Уральский,20634,1732,1946,,56.5030175,60.8093215
Сычёвка,Смоленская область,Центральный,7544,1488,1776,,55.8269908,34.2770455
Сясьстрой,Ленинградская область,Северо-Западный,12566,1926,1992,Сясьские Рядки,60.1397073,32.5637502
Тавда,Свердловская область,Уральский,32749,1910,1937,"Посёлок суконной фабрики Ушкова,Каратуновка",58.0413743,65.2719986
Таганрог,Ростовская область,Южный,245120,1698,1775,,47.2153657,38.9285216
Тайга,Кемеровская область,Сибирский,22375,1896,1911,,56.065071,85.631325
Тайшет,Иркутская область,Сибирский,34491,1897,1938,,55.9385304,98.0196711
Талдом,Московская область,Центральный,17317,1677,1918,Ленинск(с 1918 до 1931),56.730941,37.528016
Талица,Свердловская область,Уральский,14808,1732,1942,,57.014816,63.730244
Тамбов,Тамбовская область,Центральный,261803,1636,1719,Танбов,52.7216164,41.4523988
Тара,Омская область,Сибирский,26878,1594,1594,,56.902587,74.3698652
Таруса,Калужская область,Центральный,9918,1246,1776,,54.7293536,37.1815538
Татарск,Новосибирская область,Сибирский,23711,1894,1911,,55.216961,75.962196
Таштагол,Кемеровская область,Сибирский,21980,1939,1963,,52.7594694,87.8484499
Тверь,Тверская область,Центральный,416219,1135,1139,Калинин(с 1932 до 1990),56.8596713,35.8952416
Теберда,Карачаево-Черкесия,Северо-Кавказский,9020,1868,1971,,43.4410989,41.7436988
Тейково,Ивановская область,Центральный,31305,1650XVII век,1918,,56.8554753,40.5405863
Тельмана,Ленинградская область,Северо-Западный,23986,1792,2024,Колпинская колония,59.726498,30.612122
Темников,Мордовия,Приволжский,6451,1150XII век,1536,,54.631496,43.210983
Темрюк,Краснодарский край,Южный,41608,1860,1860,,45.2823609,37.3658235
Терек,Кабардино-Балкария,Северо-Кавказский,19948,1876,1967,Муртазово(до 1920),43.4826692,44.1363776
Тетюши,Татарстан,Приволжский,10535,1578,1781,,54.9342754,48.8319574
Тимашёвск,Краснодарский край,Южный,51858,1794,1966,,45.6129685,38.9357743
Тихвин,Ленинградская область,Северо-Западный,55415,1383,1773,,59.644323,33.5418624
Тихорецк,Краснодарский край,Южный,55686,1895,1926,Тихорецкий,45.854679,40.128124
Тобольск,Тюменская область,Уральский,100352,1587,1590,"Тоболеск-Ладейный,Тоболеск",58.1998048,68.2512924
Тогучин,Новосибирская область,Сибирский,20766,1867,1945,,55.23769,84.402458
Тольятти,Самарская область,Приволжский,684709,1737,1780,Ставрополь(до 1964),53.5098845,49.4189187
Томари,Сахалинская область,Дальневосточный,4313,1870,1946,Томариору(до 1946),47.7612087,142.063478
Томмот,Якутия,Дальневосточный,6440,1923,1923,,58.968536,126.266853
Томск,Томская область,Сибирский,556478,1604,1604,,56.4887526,84.9523434
Топки,Кемеровская область,Сибирский,27158,1914,1933,,55.2751962,85.6228741
Торжок,Тверская область,Центральный,41116,850IX—X века,1135,Новый Торг,57.040794,34.973373
Торопец,Тверская область,Центральный,11441,1074,1074,,56.496479,31.641077
Тосно,Ленинградская область,Северо-Западный,34066,1500,1963,"Тосна,Ям-Тосна",59.5412777,30.8773645
Тотьма,Вологодская область,Северо-Западный,8669,1137,1780,"Соль Тотемская,Усолье Тотемское",59.9736254,42.7587335
Трёхгорный,Челябинская область,Уральский,32463,1952,1955,"Златоуст-20,Златоуст-36",54.8151264,58.4466273
Троицк,Челябинская область,Уральский,70301,1743,1784,,54.0847722,61.5514047
Трубчевск,Брянская область,Центральный,13287,975,975,"Трубеч,Трубецк",52.5835,33.767467
Туапсе,Краснодарский край,Южный,61571,1838,1916,"Вельяминовская,Вельяминовка",44.0984747,39.0718875
Туймазы,Башкортостан,Приволжский,68349,1912,1960,Туймаза,54.6019135,53.6952117
Тула,Тульская область,Центральный,473622,1146,1146,,54.1930321,37.61754
Тулун,Иркутская область,Сибирский,38440,1735,1927,,54.562096,100.579216
Туран,Тыва,Сибирский,5044,1885,1945,,52.1458093,93.9186434
Туринск,Свердловская область,Уральский,16561,1600,1600,Епанчин,58.0525487,63.6908787
Тутаев,Ярославская область,Центральный,39643,1250XIII век,1822,Романов-Борисоглебск(до 1918),57.875385,39.527214
Тында,Амурская область,Дальневосточный,28625,1907,1975,Тындинское(до 1937);Тындинский(до 1974),55.149694,124.7375884
Тырныауз,Кабардино-Балкария,Северо-Кавказский,22056,1934,1955,Гирхожан(до 1937);Нижний Баксан(до 1955),43.3958986,42.9230751
Тюкалинск,Омская область,Сибирский,9894,1759,1823,Тюкала,55.870556,72.196617
Тюмень,Тюменская область,Уральский,847488,1586,1586,Чинги-Тура,57.153534,65.542274
Уварово,Тамбовская область,Центральный,23584,1699,1966,,51.9838919,42.2664426
Углегорск,Сахалинская область,Дальневосточный,8041,1905XX век,1946,Эсутору(до 1946),49.079296,142.0633622
Углич,Ярославская область,Центральный,32719,1148,1148,,57.526783,38.316689
Удачный,Якутия,Дальневосточный,12930,1967,1987,,66.411768,112.2517294
Удомля,Тверская область,Центральный,25950,1478,1981,,57.877998,35.0042
Ужур,Красноярский край,Сибирский,14134,1760,1953,Усул,55.3197221,89.8424197
Узловая,Тульская область,Центральный,49427,1873,1938,Хрущёвская(до 1877),53.978512,38.160255
Улан-Удэ,Бурятия,Сибирский,437565,1666,1690,Удинское зимовье(до 1680);Удинский острог(до 1690);Удинск(до 1735);Верхнеудинск(до 1934),51.8357841,107.5839105
Ульяновск,Ульяновская область,Приволжский,617352,1648,1648,Синбирск(до 1780);Симбирск(до 1924),54.3150278,48.403373
Унеча,Брянская область,Центральный,24274,1887,1940,,52.8449574,32.6700113
Урень,Нижегородская область,Приволжский,12450,1719,1973,Трёхсвятское,57.45538,45.7902514
Уржум,Кировская область,Приволжский,8448,1584,1796,,57.1101118,50.0003067
Урус-Мартан,Чечня,Северо-Кавказский,63449,1750XVIII век,1990,Красноармейское(с 1944 до 1958),43.133102,45.538425
Урюпинск,Волгоградская область,Южный,36669,1618,1929,Урюпинская(до 1929),50.7970972,42.0051866
Усинск,Коми,Северо-Западный,32182,1966,1984,,65.9944237,57.5570861
Усмань,Липецкая область,Центральный,19662,1645,1779,,52.0433307,39.7366093
Усолье-Сибирское,Иркутская область,Сибирский,74762,1669,1925,Усолье(до 1940),52.7512013,103.6621625
Усолье,Пермский край,Приволжский,6619,1606,1940,,59.4180251,56.6830803
Уссурийск,Приморский край,Дальневосточный,180393,1866,1898,Никольск(до 1926);Никольск-Уссурийский(до 1935);Ворошилов(до 1957),43.7972447,131.9520752
Усть-Джегута,Карачаево-Черкесия,Северо-Кавказский,31137,1868,1975,Усть-Джегутинская(до 1975),44.0858961,41.9722557
Усть-Илимск,Иркутская область,Сибирский,79570,1966,1973,Усть-Илим(до 1973),57.959473,102.734192
Усть-Катав,Челябинская область,Уральский,21439,1758,1942,Усть-Катавский завод,54.9308,58.17484
Усть-Кут,Иркутская область,Сибирский,36918,1631,1954,"Усть-Кутский острог,Усть-Кутское",56.7810026,105.7460255
Усть-Лабинск,Краснодарский край,Южный,40158,1794,1958,Усть-Лабинская(до 1958),45.2181768,39.6917539
Устюжна,Вологодская область,Северо-Западный,7843,1252,1252,,58.8428204,36.4296982
Уфа,Башкортостан,Приволжский,1144809,1574,1586,,54.7261409,55.947499
Ухта,Коми,Северо-Западный,79899,1929,1943,,63.5623797,53.6842376
Учалы,Башкортостан,Приволжский,36175,1750сер. XVIII века,1963,,54.316597,59.384636
Уяр,Красноярский край,Сибирский,12036,1760,1944,Клюквенная,55.809986,94.327774
Фатеж,Курская область,Центральный,4691,1550XVI век,1779,,52.089344,35.859486
Феодосия,Крым,Южный,66293,-600VI век до н. э.,,"Кефе,Кафа",45.0262369,35.386749
Фокино,Приморский край,Дальневосточный,19711,1891,1980,Тихоокеанский(до 1980);Шкотово-17(до 1994),42.9772084,132.404905
Фокино,Приморский край,Дальневосточный,19711,1891,1980,Тихоокеанский(до 1980);Шкотово-17(до 1994),42.9772084,132.404905
Фролово,Волгоградская область,Южный,35661,1859,1936,,49.7645711,43.6539516
Фрязино,Московская область,Центральный,60580,1584,1951,,55.954618,38.0567691
Фурманов,Ивановская область,Центральный,29715,1918,1918,Середа-Упино(до 1918);Середа(до 1941),57.248756,41.10923
Хабаровск,Хабаровский край,Дальневосточный,617441,1858,1880,Бури(до 1858);Хабарово(до 1880);Хабаровка(до 1893),48.4812568,135.0762968
Хадыженск,Краснодарский край,Южный,22094,1864,1949,,44.4231032,39.5369484
Харабали,Астраханская область,Южный,18514,1789,1974,,47.4083742,47.2538899
Харовск,Вологодская область,Северо-Западный,8389,1903,1954,,59.9533237,40.2068249
Хасавюрт,Дагестан,Северо-Кавказский,155144,1846,1931,Ярыксув(до 1847),43.246916,46.5855184
Хвалынск,Саратовская область,Приволжский,12042,1556,1780,Сосновка(до 1606);Сосновый остров(до 1780),52.495499,48.105888
Хилок,Забайкальский край,Сибирский,9948,1895,1951,,51.3628436,110.4579749
Химки,Московская область,Центральный,257128,1850,1939,,55.8917293,37.4396994
Холм,Новгородская область,Северо-Западный,3214,1144,1777,,57.1540742,31.170852
Холмск,Сахалинская область,Дальневосточный,25677,1870,1922,Маука(до 1905);Маока(до 1946),47.0545875,142.0487125
Хотьково,Московская область,Центральный,20466,1308,1949,,56.2516797,37.9780219
Цивильск,Чувашия,Приволжский,12762,1589,1781,,55.8661072,47.473703
Цимлянск,Ростовская область,Южный,14731,1672,1961,Кумшацкая(до 1950);Цимлянская(до 1950);Цимлянский(до 1961),47.650585,42.098232
Циолковский,Амурская область,Дальневосточный,7194,1961,2015,Углегорск(до 1969);Свободный-18(до 1994);Углегорск(до 2015),51.764973,128.123428
Чадан,Тыва,Сибирский,9732,1873,1945,Артаадыт(до 1929),51.2840385,91.5666701
Чайковский,Пермский край,Приволжский,75837,1955,1962,,56.7787468,54.1500704
Чапаевск,Самарская область,Приволжский,70228,1909,1927,Иващенково(до 1918);Троцк(до 1929),52.981285,49.711193
Чаплыгин,Липецкая область,Центральный,11579,1638,1778,Слободское(до 1778);Раненбург(до 1948),53.243015,39.966801
Чебаркуль,Челябинская область,Уральский,44693,1736,1951,,54.977795,60.37009
Чебоксары,Чувашия,Приволжский,497807,1469,1469,,56.1399598,47.2480999
Чегем,Кабардино-Балкария,Северо-Кавказский,20736,1822,2000,Кундетово(до 1920);Чегем I(до 2000),43.5655936,43.5899021
Чекалин,Тульская область,Центральный,935,1565,1746,Лихвин(до 1944),54.0985545,36.2472471
Челябинск,Челябинская область,Уральский,1177058,1736,1781,,55.1598408,61.4025547
Чердынь,Пермский край,Приволжский,4590,1451,1535,,60.4027097,56.4785338
Черемхово,Иркутская область,Сибирский,53958,1772,1917,Черемховское,53.148434,103.070145
Черепаново,Новосибирская область,Сибирский,19900,1912,1925,Свободный(до 1921),54.226101,83.370468
Череповец,Вологодская область,Северо-Западный,305185,1777,1777,,59.128696,37.916389
Черкесск,Карачаево-Черкесия,Северо-Кавказский,113226,1825,1931,Баталпашинская(до 1931);Баталпашинск(до 1934);Сулимов(до 1937);Ежово-Черкесск(до 1939),44.2285229,42.048257
Чёрмоз,Пермский край,Приволжский,3044,1701,1943,,58.784988,56.153381
Черноголовка,Московская область,Центральный,19530,1710,2001,,56.0061165,38.3835224
Черногорск,Хакасия,Сибирский,75745,1936,1936,Черногорские Копи(до 1936),53.828236,91.31321
Чернушка,Пермский край,Приволжский,32991,1854,1966,,56.5152817,56.0765041
Черняховск,Калининградская область,Северо-Западный,36128,1336,1583,Инстербург(до 1946),54.635533,21.8099822
Чехов,Московская область,Центральный,89025,1175,1954,Лопасня(до 1954),55.1426603,37.4545328
